[REGIONS]
; - FACA_ACC_West
FACA_ACC_West 0 S036.59.59.972 E022.25.41.956
S023.28.55.391 E027.14.35.745
S023.28.57.584 E027.14.27.473
S023.28.59.777 E027.14.19.201
S023.29.06.077 E027.14.14.011
S023.29.13.013 E027.14.12.609
S023.29.21.902 E027.14.10.032
S023.29.27.322 E027.14.08.155
S023.29.34.695 E027.14.05.101
S023.29.42.270 E027.14.07.481
S023.29.47.490 E027.14.00.166
S023.29.49.679 E027.13.51.898
S023.29.48.401 E027.13.44.331
S023.29.46.685 E027.13.38.418
S023.29.41.499 E027.13.33.212
S023.29.38.268 E027.13.26.822
S023.29.30.691 E027.13.24.446
S023.29.22.440 E027.13.30.812
S023.29.18.534 E027.13.33.168
S023.29.09.209 E027.13.37.398
S023.29.05.542 E027.13.32.658
S023.29.07.732 E027.13.24.390
S023.29.09.047 E027.13.19.430
S023.29.11.674 E027.13.09.510
S023.29.13.861 E027.13.01.248
S023.29.18.001 E027.12.51.808
S023.29.21.265 E027.12.45.677
S023.29.26.045 E027.12.40.017
S023.29.29.107 E027.12.28.450
S023.29.31.732 E027.12.18.533
S023.29.33.920 E027.12.10.268
S023.29.35.668 E027.12.03.660
S023.29.38.293 E027.11.53.744
S023.29.41.996 E027.11.45.954
S023.29.47.212 E027.11.38.642
S023.29.51.991 E027.11.32.984
S023.30.00.437 E027.11.32.059
S023.30.05.418 E027.11.31.834
S023.30.11.914 E027.11.32.083
S023.30.20.361 E027.11.31.158
S023.30.25.778 E027.11.29.282
S023.30.32.273 E027.11.29.533
S023.30.38.768 E027.11.29.784
S023.30.44.391 E027.11.33.333
S023.30.49.138 E027.11.40.195
S023.30.53.884 E027.11.47.057
S023.30.59.068 E027.11.52.265
S023.31.02.301 E027.11.58.650
S023.31.06.611 E027.12.07.163
S023.31.09.844 E027.12.13.549
S023.31.14.153 E027.12.22.064
S023.31.15.434 E027.12.29.627
S023.31.21.055 E027.12.33.184
S023.31.29.064 E027.12.33.912
S023.31.34.918 E027.12.30.382
S023.31.37.540 E027.12.20.465
S023.31.41.035 E027.12.07.242
S023.31.42.783 E027.12.00.632
S023.31.51.228 E027.11.59.707
S023.31.55.771 E027.12.01.134
S023.32.01.187 E027.11.59.257
S023.31.59.906 E027.11.51.694
S023.31.55.596 E027.11.43.180
S023.31.51.285 E027.11.34.666
S023.31.57.138 E027.11.31.136
S023.31.55.856 E027.11.23.575
S023.31.52.623 E027.11.17.191
S023.31.47.876 E027.11.10.332
S023.31.46.157 E027.11.04.424
S023.31.42.283 E027.10.54.256
S023.31.37.536 E027.10.47.398
S023.31.34.302 E027.10.41.016
S023.31.29.991 E027.10.32.506
S023.31.25.243 E027.10.25.647
S023.31.21.574 E027.10.20.916
S023.31.24.193 E027.10.11.004
S023.31.25.065 E027.10.07.701
S023.31.28.761 E027.09.59.917
S023.31.33.099 E027.09.55.912
S023.31.42.184 E027.09.58.765
S023.31.49.755 E027.10.01.143
S023.31.54.298 E027.10.02.570
S023.31.58.635 E027.09.58.565
S023.32.01.458 E027.09.54.085
S023.32.06.231 E027.09.48.431
S023.32.06.898 E027.09.39.693
S023.32.03.665 E027.09.33.309
S023.32.04.973 E027.09.28.353
S023.32.03.254 E027.09.22.447
S023.31.55.247 E027.09.21.722
S023.31.51.141 E027.09.18.644
S023.31.44.442 E027.09.12.964
S023.31.40.772 E027.09.08.234
S023.31.29.968 E027.08.59.476
S023.31.31.506 E027.08.47.440
S023.31.31.737 E027.08.40.358
S023.31.29.581 E027.08.36.104
S023.31.24.396 E027.08.30.900
S023.31.22.676 E027.08.24.995
S023.31.23.778 E027.08.14.611
S023.31.25.522 E027.08.08.005
S023.31.28.780 E027.08.01.875
S023.31.35.272 E027.08.02.124
S023.31.41.535 E027.08.09.454
S023.31.41.742 E027.08.14.883
S023.31.47.362 E027.08.18.436
S023.31.53.212 E027.08.14.907
S023.32.00.576 E027.08.11.853
S023.32.06.426 E027.08.08.325
S023.32.13.789 E027.08.05.272
S023.32.19.203 E027.08.03.394
S023.32.25.694 E027.08.03.643
S023.32.33.700 E027.08.04.367
S023.32.42.783 E027.08.07.219
S023.32.48.839 E027.08.09.120
S023.32.57.487 E027.08.13.624
S023.33.02.028 E027.08.15.050
S023.33.09.162 E027.08.19.079
S023.33.08.933 E027.08.26.161
S023.33.05.676 E027.08.32.292
S023.33.02.419 E027.08.38.423
S023.33.01.753 E027.08.47.157
S023.33.16.897 E027.08.53.885
S023.33.20.276 E027.08.56.022
S023.33.22.744 E027.08.57.873
S023.33.26.386 E027.08.59.016
S023.33.30.027 E027.09.00.159
S023.33.33.668 E027.09.01.302
S023.33.36.785 E027.09.04.431
S023.33.39.902 E027.09.07.560
S023.33.43.282 E027.09.09.696
S023.33.46.923 E027.09.10.837
S023.33.50.302 E027.09.12.973
S023.33.54.592 E027.09.15.384
S023.33.58.233 E027.09.16.522
S023.34.02.537 E027.09.11.423
S023.34.03.585 E027.09.07.452
S023.34.04.371 E027.09.04.473
S023.34.09.447 E027.09.03.918
S023.34.13.087 E027.09.05.062
S023.34.15.046 E027.09.01.376
S023.34.18.177 E027.08.56.978
S023.34.20.522 E027.08.55.561
S023.34.24.949 E027.08.53.723
S023.34.27.817 E027.08.50.318
S023.34.26.659 E027.08.43.497
S023.34.25.362 E027.08.40.937
S023.34.25.638 E027.08.32.414
S023.34.25.514 E027.08.29.147
S023.34.25.265 E027.08.22.612
S023.34.24.754 E027.08.17.071
S023.34.23.982 E027.08.12.526
S023.34.23.858 E027.08.09.260
S023.34.23.996 E027.08.05.002
S023.34.25.567 E027.07.59.041
S023.34.26.229 E027.07.52.796
S023.34.24.932 E027.07.50.239
S023.34.21.292 E027.07.49.097
S023.34.18.162 E027.07.53.493
S023.34.15.818 E027.07.54.909
S023.34.11.267 E027.07.53.482
S023.34.10.495 E027.07.48.936
S023.34.08.812 E027.07.44.104
S023.34.05.958 E027.07.39.980
S023.34.03.365 E027.07.34.863
S023.34.02.069 E027.07.32.304
S023.34.00.386 E027.07.27.470
S023.33.58.704 E027.07.22.643
S023.33.56.759 E027.07.18.808
S023.33.53.642 E027.07.15.678
S023.33.49.616 E027.07.12.263
S023.33.46.499 E027.07.09.134
S023.33.43.383 E027.07.06.005
S023.33.47.161 E027.07.02.889
S023.33.50.676 E027.07.00.767
S023.33.53.282 E027.06.58.360
S023.33.57.708 E027.06.56.523
S023.34.01.485 E027.06.53.405
S023.34.05.263 E027.06.50.287
S023.34.08.778 E027.06.48.162
S023.34.09.177 E027.06.42.911
S023.34.07.233 E027.06.39.075
S023.34.04.378 E027.06.34.955
S023.34.03.605 E027.06.30.412
S023.34.06.210 E027.06.28.004
S023.34.10.635 E027.06.26.167
S023.34.13.889 E027.06.25.038
S023.34.18.052 E027.06.24.194
S023.34.23.125 E027.06.23.636
S023.34.27.675 E027.06.25.063
S023.34.31.315 E027.06.26.204
S023.34.35.864 E027.06.27.630
S023.34.40.675 E027.06.28.063
S023.34.45.486 E027.06.28.497
S023.34.50.297 E027.06.28.931
S023.34.54.198 E027.06.29.079
S023.34.59.271 E027.06.28.520
S023.35.04.082 E027.06.28.954
S023.35.08.244 E027.06.28.109
S023.35.12.794 E027.06.29.538
S023.35.16.433 E027.06.30.681
S023.35.20.982 E027.06.32.106
S023.35.24.883 E027.06.32.256
S023.35.28.661 E027.06.29.144
S023.35.32.176 E027.06.27.022
S023.35.37.510 E027.06.25.471
S023.35.40.501 E027.06.25.334
S023.35.44.401 E027.06.25.482
S023.35.48.437 E027.06.21.372
S023.35.49.483 E027.06.17.399
S023.35.50.528 E027.06.13.426
S023.35.50.926 E027.06.08.176
S023.35.52.495 E027.06.02.217
S023.35.56.657 E027.06.01.373
S023.36.00.296 E027.06.02.515
S023.36.04.071 E027.05.59.400
S023.36.07.199 E027.05.55.006
S023.36.03.821 E027.05.52.871
S023.36.01.876 E027.05.49.036
S023.36.01.363 E027.05.43.500
S023.36.02.022 E027.05.37.257
S023.36.01.248 E027.05.32.714
S023.36.01.384 E027.05.28.457
S023.35.59.962 E027.05.22.636
S023.35.59.449 E027.05.17.100
S023.35.57.504 E027.05.13.265
S023.35.55.559 E027.05.09.431
S023.35.51.794 E027.05.05.025
S023.35.53.361 E027.04.59.068
S023.35.55.315 E027.04.55.381
S023.35.58.441 E027.04.50.988
S023.36.01.954 E027.04.48.865
S023.36.05.854 E027.04.49.014
S023.36.10.925 E027.04.48.455
S023.36.15.086 E027.04.47.611
S023.36.18.986 E027.04.47.759
S023.36.25.353 E027.04.49.757
S023.36.27.560 E027.04.52.598
S023.36.28.073 E027.04.58.133
S023.36.29.757 E027.05.02.961
S023.36.32.489 E027.05.03.818
S023.36.35.611 E027.04.59.423
S023.36.39.512 E027.04.59.572
S023.36.42.764 E027.04.58.442
S023.36.46.537 E027.04.55.327
S023.36.47.843 E027.04.50.362
S023.36.48.888 E027.04.46.391
S023.36.50.194 E027.04.41.427
S023.36.51.761 E027.04.35.470
S023.36.51.635 E027.04.32.206
S023.36.51.771 E027.04.27.949
S023.36.50.999 E027.04.23.407
S023.36.49.055 E027.04.19.573
S023.36.45.153 E027.04.19.424
S023.36.40.990 E027.04.20.269
S023.36.38.387 E027.04.22.677
S023.36.35.271 E027.04.19.550
S023.36.33.064 E027.04.16.708
S023.36.36.971 E027.04.09.337
S023.36.37.492 E027.04.07.352
S023.36.37.236 E027.04.00.825
S023.36.38.018 E027.03.57.848
S023.36.39.321 E027.03.52.885
S023.36.41.533 E027.03.48.207
S023.36.38.125 E027.03.33.115
S023.36.43.845 E027.03.33.836
S023.36.45.664 E027.03.34.407
S023.36.49.303 E027.03.35.550
S023.36.52.680 E027.03.37.686
S023.36.59.048 E027.03.39.686
S023.37.02.948 E027.03.39.836
S023.37.05.940 E027.03.39.699
S023.37.10.102 E027.03.38.855
S023.37.14.003 E027.03.39.004
S023.37.18.555 E027.03.40.430
S023.37.22.458 E027.03.40.578
S023.37.27.658 E027.03.43.283
S023.37.30.775 E027.03.46.412
S023.37.33.632 E027.03.50.534
S023.37.34.929 E027.03.53.092
S023.37.33.097 E027.04.00.049
S023.37.34.394 E027.04.02.606
S023.37.37.512 E027.04.05.735
S023.37.43.100 E027.04.10.711
